date,season,country,league,team1,team2,home,draw,away,over,under,yes,no,link
02.03.2021,2021,england,championship,Coventry,Middlesbrough,2.98,3.17,2.56,2.39,1.62,1.99,1.8,https://www.oddsportal.com/soccer/england/championship/coventry-middlesbrough-pdjkRge9
02.03.2021,2021,thailand,thai-league-1,Buriram,Trat FC,1.3,5.43,7.87,1.39,2.79,1.65,2.1,https://www.oddsportal.com/soccer/thailand/thai-league-1/buriram-united-f-c-trat-fc-Cl7uHxqN
02.03.2021,2021,iran,division-1,Rayka Babol,Baderan Tehran,2.66,2.94,2.68,2.57,1.45,2.05,1.69,https://www.oddsportal.com/soccer/iran/division-1/rayka-babol-baderan-tehran-Esm1SjYf
02.03.2021,2021,england,championship,Nottingham,Luton,2.02,3.35,4.05,2.41,1.61,2.09,1.72,https://www.oddsportal.com/soccer/england/championship/nottingham-luton-Ior2OiuS
02.03.2021,2021,england,league-one,Lincoln,Fleetwood,2.0,3.59,3.83,2.06,1.82,1.86,1.91,https://www.oddsportal.com/soccer/england/league-one/lincoln-city-fleetwood-town-GjZLNnKD
02.03.2021,2021,france,ligue-2,Nancy,Caen,2.37,2.79,3.74,2.52,1.56,2.05,1.76,https://www.oddsportal.com/soccer/france/ligue-2/nancy-caen-h0S8XKkh
02.03.2021,2021,northern-ireland,nifl-premiership,Warrenpoint,Dungannon,1.93,3.68,3.59,1.73,2.11,1.63,2.16,https://www.oddsportal.com/soccer/northern-ireland/nifl-premiership/warrenpoint-dungannon-UwconCdO
02.03.2021,2021,wales,cymru-premier,Newtown,Penybont,2.68,3.69,2.3,1.56,2.42,1.47,2.5,https://www.oddsportal.com/soccer/wales/cymru-premier/newtown-penybont-fNZYRUBF
02.03.2021,2021,australia,a-league,Perth Glory,Central Coast Mariners,2.0,3.81,3.48,1.64,2.32,1.58,2.35,https://www.oddsportal.com/soccer/australia/a-league/perth-glory-central-coast-mariners-dzG4ASSA
02.03.2021,2021,romania,romanian-cup,Chindia Targoviste,Univ. Craiova,3.85,3.32,1.97,2.41,1.57,2.04,1.73,https://www.oddsportal.com/soccer/romania/romanian-cup/chindia-targoviste-cs-u-craiova-ID6ppW48
